,rank,song,artist,genre,year,uri
0,1,Unholy,Sam Smith & Kim Petras,Pop,2022.0,3nqQXoyQOWXiESFLlDF1hG
1,2,Eagle (feat. KB),Transformation Worship,Hip-Hop / Rap,2022.0,3ohS1bA7wWWJT7ylC4ByeI
2,3,I'm Good (Blue),David Guetta & Bebe Rexha,Dance,2022.0,4uUG5RXrOk84mYEfFvj3cK
3,4,Everywhere,Fleetwood Mac,Rock,1987.0,254bXAqt3zP6P50BdQvEsq
4,5,wait in the truck,HARDY & Lainey Wilson,Country,2022.0,7trjNYF5ek7zX4GKSHQZbP
5,6,Make It With You,Bread,Soft Rock,1970.0,7wWw7hBmErNg9u5w6Xx0vy
6,7,A Thousand Years,Christina Perri,Soundtrack,2011.0,6lanRgr6wXibZr8KgzXxBl
7,8,Thank God,Kane Brown & Katelyn Brown,Country,2022.0,1brnLTvarI9D1hLP6z2Ar8
8,9,Son Of A Sinner,Jelly Roll,Rock,2021.0,25VQoiuyc0HkC5FQTj1a8G
9,10,You Proof,Morgan Wallen,Country,2022.0,5uU1uuyaUIBOiiUSQG7Wl3
10,11,I Ain't Worried,OneRepublic,Pop,2022.0,4h9wh7iOZ0GGn8QVp4RAOB
11,12,CUFF IT,Beyoncé,Pop,2022.0,1xzi1Jcr7mEi9K2RfzLOqS
12,13,the mockingbird & THE CROW,HARDY,Rock,,5rHGSRBG7QvmWnBKVWXnki
13,14,Unstoppable,Sia,Pop,2016.0,1yvMUkIOTeUNtNWlWRgANS
14,15,Left and Right,Charlie Puth & Jung Kook,Pop,2022.0,0mBP9X2gPCuapvpZ7TGDk3
15,16,TRUCK BED,HARDY,Rock,2022.0,73NzYbpaYvQ7JfpjztFESL
16,17,She Had Me At Heads Carolina,Cole Swindell,Country,2022.0,200x8ONbPfFzByUr3fVz46
17,18,here lies country music,HARDY,Country,,4I3OejPxtFzZK7HGCXhVSu
18,19,Wasted On You,Morgan Wallen,Country,2021.0,3cBsEDNhFI9E82vPj3kvi3
19,20,Lose Yourself,Eminem,Soundtrack,2002.0,5Z01UMMf7V1o0MzF86s6WJ
20,21,The Kind of Love We Make,Luke Combs,Country,2022.0,28n8z9IQKyjMPxmvYMBqZa
21,22,As It Was,Harry Styles,Pop,2022.0,4LRPiXqCikLlN15c3yImP7
22,23,Under the Influence,Chris Brown,R&B / Soul,2019.0,5IgjP7X4th6nMNDh4akUHb
23,24,Fall In Love,Bailey Zimmerman,Country,2022.0,5gVCfYmQRPy1QJifP8f5gg
24,25,Shallow,Lady Gaga & Bradley Cooper,Soundtrack,2018.0,2VxeLyX666F8uXCJ0dZF8B
25,26,Super Freaky Girl,Nicki Minaj,Hip-Hop / Rap,2022.0,4C6Uex2ILwJi9sZXRdmqXp
26,27,Celestial,Ed Sheeran,Pop,2022.0,4zrKN5Sv8JS5mqnbVcsul7
27,28,Life Is a Highway,Rascal Flatts,Soundtrack,2006.0,2Fs18NaCDuluPG1DHGw1XG
28,29,Hold Me Closer,Elton John & Britney Spears,Pop,2021.0,72yP0DUlWPyH8P7IoxskwN
29,30,Love Me Like You Do,Ellie Goulding,Soundtrack,2015.0,0Cy7wt6IlRfBPHXXjmZbcP
30,31,About Damn Time,Lizzo,Pop,2022.0,1PckUlxKqWQs3RlWXVBLw3
31,32,Shivers,Ed Sheeran,Pop,2021.0,50nfwKoDiSYg8zOCREWAm5
32,33,Sunroof,Nicky Youre & Dazy,Pop,2021.0,4h4QlmocP3IuwYEj2j14p8
33,34,Victoria’s Secret,Jax,Pop,2022.0,4svaKoxMMP7ImmKrD5hfQu
34,35,Earned It,The Weeknd,Soundtrack,2014.0,4frLb7nWtsz2ymBE6k2GRP
35,36,Everything I Own,Bread,Soft Rock,1972.0,52VIdyKqp1pJRSyUQaxKUA
36,37,Starved,Zach Bryan,Country,2022.0,51dn2eCX2DhMTHtkPmZbZP
37,38,Gangsta's Paradise (feat. L.V.),Coolio,Hip-Hop / Rap,1995.0,2h6BW2KKzK0cod3F7i92ld
38,39,"1,2,3 Eoi!",MAMAMOO,K-Pop,,1uYgNXNnBTQnboOwlYBLd1
39,40,Baby I'm-A Want You,Bread,Soft Rock,1971.0,7IX2e7pEShera9T1QIMvi7
40,41,Numb,Marshmello & Khalid,R&B / Soul,2022.0,10xV5l9nhLvFpR8mqzs0bL
41,42,High Heels,Flo Rida & Walker Hayes,Pop,2022.0,7HH2qGXywdgAn5b2WHnkQq
42,43,You'll Be In My Heart,Phil Collins,Soundtrack,1999.0,1fTDYdx5zYfWJSX0JlKO8o
43,44,I Like You (A Happier Song) [feat. Doja Cat],Post Malone,Hip-Hop / Rap,2022.0,0O6u0VJ46W86TxN9wgyqDj
44,45,Way of the Triune God (Hallelujah Version),Tyler Childers,Country,2022.0,2BJy4svtrGACqRB5BFLOK6
45,46,2 Be Loved (Am I Ready),Lizzo,Pop,2022.0,2rmwqU7yzTvzkiaRV53DpT
46,47,Monster Mash,"Bobby ""Boris"" Pickett & The Crypt-Kickers",Halloween,1962.0,0xxZY5C9xxij3D1HkzbnfC
47,48,Next Thing You Know,Jordan Davis,Country,2022.0,2lNTHWu2I5Tcz9ukWsV5Jj
48,49,Cold Heart (PNAU Remix),Elton John & Dua Lipa,Pop,2021.0,6zSpb8dQRaw0M1dK8PBwQz
49,50,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,Pop,2022.0,0hquQWY3xvYqN4qtiquniF
50,51,Bad Habit,Steve Lacy,R&B / Soul,2022.0,5CM4UuQ9Gnd6K2YyKGPMoK
51,52,Rock and a Hard Place,Bailey Zimmerman,Country,2022.0,4686eQ81DEswHa90bcdlC9
52,53,Running Up That Hill (A Deal with God),Kate Bush,Pop,1985.0,29d0nY7TzCoi22XBqDQkiP
53,54,What My World Spins Around,Jordan Davis,Country,2022.0,6HBRLaSQ7NB8MNlaqzYen1
54,55,This Is Halloween,The Citizens of Halloween,Soundtrack,1993.0,01YROQCnF1AQm7SCWJmD2o
55,56,Soul,Lee Brice,Country,2020.0,3vCUelLOtiuNF78p9LNWZF
56,57,Bones,Imagine Dragons,Alternative,2021.0,0HqZX76SFLDz2aW8aiqi7G
57,58,Something in the Orange (Z&E's Version),Zach Bryan,Country,2022.0,7lNmcW2wW6ciV9Rhh8YOMe
58,59,It Will Rain,Bruno Mars,Soundtrack,2011.0,0RUGuh2uSNFJpGMSsD1F5C
59,60,Forever,"Drake, Kanye West, Lil Wayne & Eminem",Soundtrack,2009.0,6IBcOGPsniK3Pso1wHIhew
60,61,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,Pop,2022.0,38T0tPVZHcPZyhtOcCP7pF
61,62,If,Bread,Soft Rock,1971.0,1WQ40xJSvgDmD9K7ckJwux
62,63,Always Remember Us This Way,Lady Gaga,Soundtrack,2018.0,2rbDhOo9Fh61Bbu23T2qCk
63,64,Tennessee Orange,Megan Moroney,Country,2022.0,29zZmiBDLykYYTj7RN6VhV
64,65,Neon You,Don Louis,Country,2022.0,2AlEprA31NMOha3nS5TLvI
65,66,How Do I Say Goodbye,Dean Lewis,Singer/Songwriter,2022.0,5hnGrTBaEsdukpDF6aZg8a
66,67,Never Leave,Bailey Zimmerman,Country,2022.0,1rWoeYw0Vnnj8BLH6ECoiB
67,68,Tennessee Whiskey,Chris Stapleton,Country,2015.0,3fqwjXwUGN6vbzIwvyFMhx
68,69,Havana (feat. Young Thug),Camila Cabello,Pop,2017.0,1rfofaqEpACxVEHIZBJe6W
69,70,"You, Me, And Whiskey",Justin Moore & Priscilla Block,Country,2022.0,2BLlpdGCv0IErmH3OBGHYJ
70,71,Forget Me,Lewis Capaldi,Alternative,2022.0,5uSFGgIfHMT3osrAd9n9ym
71,72,Something in the Orange,Zach Bryan,Country,2022.0,3WMj8moIAXJhHsyLaqIIHI
72,73,Somewhere Over the Rainbow,Israel Kamakawiwo'ole,World,1990.0,25U7raB3ZSszayTYClh4hF
73,74,Don’t Come Lookin’,Jackson Dean,Country,2021.0,1vscizuuPwkwC1cc5N5KQV
74,75,Love Me Like I Am,for KING & COUNTRY & Jordin Sparks,Christian & Gospel,2022.0,60GTOisUSdUksjMzq17XvO
75,77,down home,Jimmie Allen,Country,2022.0,6iai8D40xiwuktWrxcInt1
76,78,Tití Me Preguntó,Bad Bunny,Latin,2022.0,1IHWl5LamUGEuP4ozKQSXZ
77,79,Joy of My Life,Chris Stapleton,Country,2020.0,4EuaDcxHmHKS6gZ5iuGba0
78,80,Hold My Hand,Lady Gaga,Pop,2022.0,0oWraSo5ASJ0h1BEagTyEw
79,81,Late Night Talking,Harry Styles,Pop,2022.0,1qEmFfgcLObUfQm0j1W2CK
80,82,No Body,Blake Shelton,Country,2022.0,3knS4WXNNRBd3zkx2v78cx
81,83,5 Foot 9,Tyler Hubbard,Country,2022.0,6AqwH2Y9FJwhUE2dCSkw1u
82,84,'Til You Can't,Cody Johnson,Country,2021.0,4k3lPl8YTKuY8c1HelVnm3
83,85,One Way or Another (Hocus Pocus 2 Version),"Bette Midler, Sarah Jessica Parker & Kathy Najimy",Soundtrack,2022.0,3jGAUGvmWbPe2LPc8Hon1c
84,86,Havana (Live),Camila Cabello,Pop,2019.0,6JPUEloc0qDkustwyWHEpN
85,87,Fancy Like,Walker Hayes,Country,2021.0,58UKC45GPNTflCN6nwCUeF
86,88,World's Smallest Violin,AJR,Alternative,2020.0,3jHBgKdLCf46aP3HRI0WYv
87,90,"Take Me Home, Country Roads",John Denver,Traditional Country,1971.0,1YYhDizHx7PnDhAhko6cDS
88,91,She Likes It (feat. Jake Scott),Russell Dickerson & Jake Scott,Country,2021.0,6VVqPBFZIbcmv14zNfOc13
89,92,Tomorrow 2,GloRilla & Cardi B,Hip-Hop / Rap,2022.0,7KXVIAuw3m2hxZanrpSXS3
90,93,Build a Boat,Colton Dixon,Christian & Gospel,2022.0,3Kh9eZaRwd1teXFVOZ9xPv
91,94,Narco,Blasterjaxx & Timmy Trumpet,Dance,2017.0,4TuNI3WEMyLQAKRMJmcQdA
92,95,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mýa & P!nk",Soundtrack,2001.0,7GQqj9jRtDkMp8zByehXQI
93,96,Sand In My Boots,Morgan Wallen,Country,2021.0,0uRrG2jRR5tuifsYIJHEao
94,97,No Se Va (En Vivo),Grupo Frontera,Regional Mexicano,2022.0,5JhUm1v5AbI5Yu6jLKCPRO
95,98,Perfectly Loved (feat. TobyMac),Rachael Lampa,Christian & Gospel,2022.0,6YNdJX3lhmo0u8j293HaAM
96,99,How Far I'll Go,Auli'i Cravalho,Soundtrack,2016.0,6mb6lVLNrcUgLnEN8QnDJd
97,100,Bedroom Singer,J.Fla,Alternative,2022.0,66xtkQZk0oMpOt3m0QU7Pk
98,1,DON'T YOU WORRY,"Black Eyed Peas, Shakira & David Guetta",Pop,2022.0,0gYXw7aPoybWFfB7btQ0eM
99,2,Dirty Dancing (feat. Asdis),Glockenbach,Dance,2022.0,464F2a58LTaitVUFKvEm1J
100,5,Kompliment,Melissa Naschenweng,German Pop,2022.0,3r9OFjS4faHR2h8ZjZqQZV
101,7,SNAP,Rosa Linn,Indie Pop,2022.0,76OGwb5RA9h4FxQPT33ekc
102,11,When You're Gone,Shawn Mendes,Pop,2022.0,0U1W2LZVUX7qTm7dDpqxh6
103,12,Sun Will Shine,Robin Schulz & Tom Walker,Dance,2022.0,4ScVALVEge8z6cHU3yuwFX
104,13,Crazy Love,Toby Romeo & Leony,Dance,2022.0,2hjAc6x8EoSLhGxRNg8KEw
105,14,Do It Better (feat. Zoe Wees),Felix Jaehn,Dance,2022.0,1kwHrBWAlucOE57lWugotk
106,15,Expresso & Tschianti,Josh.,Pop,2022.0,7dDnNKRsXdnArAYEOEknjM
107,16,THE LONELIEST,Måneskin,Rock,2022.0,1Ame8XTX6QHY0l0ahqUhgv
108,17,Ferrari,James Hype & Miggy Dela Rosa,Dance,2022.0,4zN21mbAuaD0WqtmaTZZeP
109,18,Green Green Grass,George Ezra,Singer/Songwriter,2022.0,4N5s8lPTsjI9EGP7K4SXzB
110,19,Von dir ein Tattoo,Josh.,Pop,2022.0,1bowzKzoHJCERyTKgdt7zj
111,20,Belly Dancer,Imanbek & BYOR,Dance,2022.0,7fZBQnc0zXwVybgCIrQQil
112,21,West Coast,OneRepublic,Pop,2022.0,5Y6nVaayzitvsD5F7nr3DV
113,22,Irrelevant,P!nk,Pop,2022.0,5Oz15cyQP3TMDDXKWm4tYH
114,23,Maybe You’re The Problem,Ava Max,Pop,2022.0,0sb8ClU3CLoNblxkpmOKzA
115,24,Samba,YouNotUs & Louis III,Dance,2022.0,35fC3Wq3slX4OBfyvBVmHm
116,25,Da geht noch mehr,Nockis,German Pop,2022.0,1Ik5IJBiuI82IhtKsLmIgu
117,26,Segel im Wind,Peter Cornelius,Pop,2022.0,0AVjMKXiaXvtYBLLlkfQYo
118,27,In The Dark,Purple Disco Machine & Sophie and the Giants,Dance,2022.0,0zaoWwS8RpE3LSDdmkg8TC
119,28,Hopelessly Devoted to You,Olivia Newton-John,Musicals,2022.0,5BUq9bdtsm3LWw5laJeJ4R
