rank,song,artist,genre,year
1,Unholy,Sam Smith & Kim Petras,Pop,2022.0
2,Eagle (feat. KB),Transformation Worship,Hip-Hop / Rap,2022.0
3,I'm Good (Blue),David Guetta & Bebe Rexha,Dance,2022.0
4,Everywhere,Fleetwood Mac,Rock,1987.0
5,wait in the truck,HARDY & Lainey Wilson,Country,2022.0
6,Make It With You,Bread,Soft Rock,1970.0
7,A Thousand Years,Christina Perri,Soundtrack,2011.0
8,Thank God,Kane Brown & Katelyn Brown,Country,2022.0
9,Son Of A Sinner,Jelly Roll,Rock,2021.0
10,You Proof,Morgan Wallen,Country,2022.0
11,I Ain't Worried,OneRepublic,Pop,2022.0
12,CUFF IT,Beyoncé,Pop,2022.0
13,the mockingbird & THE CROW,HARDY,Rock,
14,Unstoppable,Sia,Pop,2016.0
15,Left and Right,Charlie Puth & Jung Kook,Pop,2022.0
16,TRUCK BED,HARDY,Rock,2022.0
17,She Had Me At Heads Carolina,Cole Swindell,Country,2022.0
18,here lies country music,HARDY,Country,
19,Wasted On You,Morgan Wallen,Country,2021.0
20,Lose Yourself,Eminem,Soundtrack,2002.0
21,The Kind of Love We Make,Luke Combs,Country,2022.0
22,As It Was,Harry Styles,Pop,2022.0
23,Under the Influence,Chris Brown,R&B / Soul,2019.0
24,Fall In Love,Bailey Zimmerman,Country,2022.0
25,Shallow,Lady Gaga & Bradley Cooper,Soundtrack,2018.0
26,Super Freaky Girl,Nicki Minaj,Hip-Hop / Rap,2022.0
27,Celestial,Ed Sheeran,Pop,2022.0
28,Life Is a Highway,Rascal Flatts,Soundtrack,2006.0
29,Hold Me Closer,Elton John & Britney Spears,Pop,2021.0
30,Love Me Like You Do,Ellie Goulding,Soundtrack,2015.0
31,About Damn Time,Lizzo,Pop,2022.0
32,Shivers,Ed Sheeran,Pop,2021.0
33,Sunroof,Nicky Youre & Dazy,Pop,2021.0
34,Victoria’s Secret,Jax,Pop,2022.0
35,Earned It,The Weeknd,Soundtrack,2014.0
36,Everything I Own,Bread,Soft Rock,1972.0
37,Starved,Zach Bryan,Country,2022.0
38,Gangsta's Paradise (feat. L.V.),Coolio,Hip-Hop / Rap,1995.0
39,"1,2,3 Eoi!",MAMAMOO,K-Pop,
40,Baby I'm-A Want You,Bread,Soft Rock,1971.0
41,Numb,Marshmello & Khalid,R&B / Soul,2022.0
42,High Heels,Flo Rida & Walker Hayes,Pop,2022.0
43,You'll Be In My Heart,Phil Collins,Soundtrack,1999.0
44,I Like You (A Happier Song) [feat. Doja Cat],Post Malone,Hip-Hop / Rap,2022.0
45,Way of the Triune God (Hallelujah Version),Tyler Childers,Country,2022.0
46,2 Be Loved (Am I Ready),Lizzo,Pop,2022.0
47,Monster Mash,"Bobby ""Boris"" Pickett & The Crypt-Kickers",Halloween,1962.0
48,Next Thing You Know,Jordan Davis,Country,2022.0
49,Cold Heart (PNAU Remix),Elton John & Dua Lipa,Pop,2021.0
50,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,Pop,2022.0
51,Bad Habit,Steve Lacy,R&B / Soul,2022.0
52,Rock and a Hard Place,Bailey Zimmerman,Country,2022.0
53,Running Up That Hill (A Deal with God),Kate Bush,Pop,1985.0
54,What My World Spins Around,Jordan Davis,Country,2022.0
55,This Is Halloween,The Citizens of Halloween,Soundtrack,1993.0
56,Soul,Lee Brice,Country,2020.0
57,Bones,Imagine Dragons,Alternative,2021.0
58,Something in the Orange (Z&E's Version),Zach Bryan,Country,2022.0
59,It Will Rain,Bruno Mars,Soundtrack,2011.0
60,Forever,"Drake, Kanye West, Lil Wayne & Eminem",Soundtrack,2009.0
61,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,Pop,2022.0
62,If,Bread,Soft Rock,1971.0
63,Always Remember Us This Way,Lady Gaga,Soundtrack,2018.0
64,Tennessee Orange,Megan Moroney,Country,2022.0
65,Neon You,Don Louis,Country,2022.0
66,How Do I Say Goodbye,Dean Lewis,Singer/Songwriter,2022.0
67,Never Leave,Bailey Zimmerman,Country,2022.0
68,Tennessee Whiskey,Chris Stapleton,Country,2015.0
69,Havana (feat. Young Thug),Camila Cabello,Pop,2017.0
70,"You, Me, And Whiskey",Justin Moore & Priscilla Block,Country,2022.0
71,Forget Me,Lewis Capaldi,Alternative,2022.0
72,Something in the Orange,Zach Bryan,Country,2022.0
73,Somewhere Over the Rainbow,Israel Kamakawiwo'ole,World,1990.0
74,Don’t Come Lookin’,Jackson Dean,Country,2021.0
75,Love Me Like I Am,for KING & COUNTRY & Jordin Sparks,Christian & Gospel,2022.0
77,down home,Jimmie Allen,Country,2022.0
78,Tití Me Preguntó,Bad Bunny,Latin,2022.0
79,Joy of My Life,Chris Stapleton,Country,2020.0
80,Hold My Hand,Lady Gaga,Pop,2022.0
81,Late Night Talking,Harry Styles,Pop,2022.0
82,No Body,Blake Shelton,Country,2022.0
83,5 Foot 9,Tyler Hubbard,Country,2022.0
84,'Til You Can't,Cody Johnson,Country,2021.0
85,One Way or Another (Hocus Pocus 2 Version),"Bette Midler, Sarah Jessica Parker & Kathy Najimy",Soundtrack,2022.0
86,Havana (Live),Camila Cabello,Pop,2019.0
87,Fancy Like,Walker Hayes,Country,2021.0
88,World's Smallest Violin,AJR,Alternative,2020.0
90,"Take Me Home, Country Roads",John Denver,Traditional Country,1971.0
91,She Likes It (feat. Jake Scott),Russell Dickerson & Jake Scott,Country,2021.0
92,Tomorrow 2,GloRilla & Cardi B,Hip-Hop / Rap,2022.0
93,Build a Boat,Colton Dixon,Christian & Gospel,2022.0
94,Narco,Blasterjaxx & Timmy Trumpet,Dance,2017.0
95,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mýa & P!nk",Soundtrack,2001.0
96,Sand In My Boots,Morgan Wallen,Country,2021.0
97,No Se Va (En Vivo),Grupo Frontera,Regional Mexicano,2022.0
98,Perfectly Loved (feat. TobyMac),Rachael Lampa,Christian & Gospel,2022.0
99,How Far I'll Go,Auli'i Cravalho,Soundtrack,2016.0
100,Bedroom Singer,J.Fla,Alternative,2022.0
1,DON'T YOU WORRY,"Black Eyed Peas, Shakira & David Guetta",Pop,2022.0
2,Dirty Dancing (feat. Asdis),Glockenbach,Dance,2022.0
5,Kompliment,Melissa Naschenweng,German Pop,2022.0
7,SNAP,Rosa Linn,Indie Pop,2022.0
11,When You're Gone,Shawn Mendes,Pop,2022.0
12,Sun Will Shine,Robin Schulz & Tom Walker,Dance,2022.0
13,Crazy Love,Toby Romeo & Leony,Dance,2022.0
14,Do It Better (feat. Zoe Wees),Felix Jaehn,Dance,2022.0
15,Expresso & Tschianti,Josh.,Pop,2022.0
16,THE LONELIEST,Måneskin,Rock,2022.0
17,Ferrari,James Hype & Miggy Dela Rosa,Dance,2022.0
18,Green Green Grass,George Ezra,Singer/Songwriter,2022.0
19,Von dir ein Tattoo,Josh.,Pop,2022.0
20,Belly Dancer,Imanbek & BYOR,Dance,2022.0
21,West Coast,OneRepublic,Pop,2022.0
22,Irrelevant,P!nk,Pop,2022.0
23,Maybe You’re The Problem,Ava Max,Pop,2022.0
24,Samba,YouNotUs & Louis III,Dance,2022.0
25,Da geht noch mehr,Nockis,German Pop,2022.0
26,Segel im Wind,Peter Cornelius,Pop,2022.0
27,In The Dark,Purple Disco Machine & Sophie and the Giants,Dance,2022.0
28,Hopelessly Devoted to You,Olivia Newton-John,Musicals,2022.0
30,Wildberry Lillet,Nina Chuba,Hip Hop/Rap,2022.0
31,die sunn und di,Pizzera & Jaus,Pop,2022.0
32,Lover,Taylor Swift,Pop,2022.0
33,Bad Memories (feat. Elley Duhé & FAST BOY),Meduza & James Carter,Dance,2022.0
34,Einmal sehen wir uns wieder,Joel Brandenstein,Pop,2022.0
35,Little Stupid Boy,ARAI,Pop,2022.0
36,Easy Lover (Solo Version),Ellie Goulding,Pop,2022.0
37,Beat Automotivo Tan Tan Tan Viral,WZ Beat,Baile Funk,2022.0
38,Pizzica Tarantina,Terraròss & dominique antonacci,Pop,2022.0
39,Big Bad Wolf,Roses & Revolutions,Alternative,2022.0
40,What's Your Voodoo?,Ghia,Electronic,2022.0
41,Love Song,The Damned,Alternative,2022.0
42,BOYS,Aidan Martin,Pop,2022.0
43,As It Was (Spanish Version),Rothe C,Pop,2022.0
44,V noci se dějou věci,Like-It,Pop/Rock,2022.0
46,Somethin' Else (Live),Stray Cats,Rock,2022.0
47,Fromage collatéral (Demo),World Brain,Indie Pop,2022.0
48,Papi's Wishing Wheel (feat. Jaakko Eino Kalevi),The Zenmenn,Indie Pop,2022.0
49,My Mind,Kyle Walker,Dance,2022.0
50,As It Was (Japanese Version),Shayne Orok,Pop,2022.0
51,Shadow Werk (Scan 7 Remix),The AM,Electronic,2022.0
52,Like That,NUZB & Noola,House,2022.0
53,Eine Kugel reicht,Bushido,Rap,2022.0
