track_id,artist,track_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,0.52,0.731,6,-5.338,0,0.0557,0.00101,0.311,0.662,173.93,167303,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,0.704,0.797,0,-5.927,1,0.0475,0.000745,0.0546,0.825,139.994,148486,4
4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,0.686,0.494,1,-7.093,1,0.0355,5.8e-05,0.402,0.7,168.946,232067,4
1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,0.836,0.743,10,-6.305,0,0.0656,0,0.335,0.722,108.966,191822,4
3nqQXoyQOWXiESFLlDF1hG,Sam Smith,Unholy (feat. Kim Petras),0.714,0.472,2,-7.375,1,0.0864,4.51e-06,0.266,0.238,131.121,156943,4
4C6Uex2ILwJi9sZXRdmqXp,Nicki Minaj,Super Freaky Girl,0.95,0.891,2,-2.653,1,0.241,1.77e-05,0.309,0.912,133.01,170977,4
0O6u0VJ46W86TxN9wgyqDj,Post Malone,I Like You (A Happier Song) (with Doja Cat),0.733,0.67,5,-6.009,1,0.0751,0,0.121,0.472,100.964,192841,4
5HCyWlXZPP0y6Gqq8TgA20,The Kid LAROI,STAY (with Justin Bieber),0.591,0.764,1,-5.484,1,0.0483,0,0.103,0.478,169.928,141806,4
6zSpb8dQRaw0M1dK8PBwQz,Elton John,Cold Heart - PNAU Remix,0.796,0.798,1,-6.312,1,0.0317,4.19e-05,0.0952,0.942,116.032,202735,4
7kOEAYqtX7OjQhNxQT4bPI,Mark Mendy,Talk To Me,0.83,0.631,1,-5.867,0,0.0654,5.94e-05,0.145,0.802,123.959,147840,4
0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,0.737,0.846,1,-4.51,0,0.22,0,0.0486,0.546,87.981,143901,4
4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,0.563,0.664,9,-5.044,1,0.154,0,0.0849,0.688,166.928,178147,4
29d0nY7TzCoi22XBqDQkiP,Kate Bush,Running Up That Hill (A Deal With God) - 2018 Remaster,0.625,0.533,10,-11.903,0,0.0596,0.00266,0.0546,0.139,108.296,300840,4
6zJejIfVYLgjud3lTk4DLB,Rosa Linn,SNAP,0.565,0.636,0,-8.198,1,0.0638,9.9e-06,0.447,0.525,170.01,179551,4
0mBP9X2gPCuapvpZ7TGDk3,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),0.881,0.592,2,-4.898,1,0.0324,1.32e-05,0.0901,0.719,101.058,154487,4
3USxtqRwSYz57Ewm6wWRMp,Glass Animals,Heat Waves,0.761,0.525,11,-6.9,1,0.0944,6.7e-06,0.0921,0.531,80.87,238805,4
5e2ZOmiFEAOFEgXNj1mHEk,Cheat Codes,I Remember,0.57,0.737,1,-4.27,0,0.0685,0,0.248,0.621,100.052,168117,4
3RfTeIrWS8LNrfHYwechtt,Nicky Youre,Sunroof,0.768,0.716,10,-5.11,1,0.0404,0,0.15,0.841,131.43,163026,4
0QBzMgT7NIeoCYy3sJCof1,Camila Cabello,Bam Bam (feat. Ed Sheeran),0.756,0.697,8,-6.377,1,0.0401,0,0.333,0.956,94.996,206071,4
1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,0.714,0.728,10,-4.595,1,0.0468,0,0.106,0.901,114.996,177955,4
6G8xvLFNkXy3HM5EbQI6c8,lovelytheband,sail away,0.743,0.835,2,-4.655,1,0.029,0,0.0912,0.955,120.019,179000,4
6bQfNiqyCX7UaQSvVVGo4I,Ed Sheeran,Shivers,0.788,0.859,2,-2.724,1,0.0856,0,0.0424,0.822,141.02,207853,4
4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,0.695,0.54,4,-5.692,1,0.0493,0,0.367,0.415,121.932,168602,4
1HhNoOuqm1a5MXYEgAFl8o,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,0.728,0.783,11,-4.424,0,0.266,0,0.434,0.555,77.011,173381,4
27NovPIUIRrOZoCHxABJwK,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),0.736,0.704,3,-7.409,0,0.0615,0,0.0501,0.894,149.995,212000,4
3tjFYV6RSFtuktYl3ZtYcq,24kGoldn,Mood (feat. iann dior),0.7,0.722,7,-3.558,0,0.0369,0,0.272,0.756,90.989,140526,4
463CkQjx2Zk1yXoBuierM9,Dua Lipa,Levitating (feat. DaBaby),0.702,0.825,6,-3.787,0,0.0601,0,0.0674,0.915,102.977,203064,4
6UXWq2vWpHeTZlMIFyEWIn,Jena Rose,Being Good Is Boring,0.767,0.758,11,-3.191,0,0.084,0,0.0682,0.844,111.986,160982,4
72yP0DUlWPyH8P7IoxskwN,Elton John,Hold Me Closer,0.667,0.75,0,-4.602,1,0.0906,0.000198,0.197,0.486,126.041,202246,4
6PQ88X9TkUIAUIZJHW2upE,Ed Sheeran,Bad Habits,0.808,0.897,11,-3.712,0,0.0348,3.14e-05,0.364,0.591,126.026,231041,4
7e7Z1IBn71QUFLFkdyBXJf,Mark Mendy,Emotions,0.656,0.832,5,-5.386,1,0.294,0,0.4,0.742,125.915,172381,4
6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,0.824,0.764,5,-4.175,0,0.0854,0.00294,0.117,0.881,107.998,172627,4
3BDjECqVu4bZtxJv32Xev3,Harina,BESTIE BOO,0.716,0.772,5,-4.299,0,0.0332,0,0.117,0.608,100.021,206400,4
37BZB0z9T8Xu7U3e65qxFy,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),0.65,0.825,0,-4.645,1,0.0325,2.44e-05,0.0936,0.593,118.091,191014,4
2sVdSQOJIgVKAnsMC6Qgbo,Beks,Young Forever,0.642,0.551,1,-7.528,0,0.0879,0,0.0893,0.698,111.961,145714,4
6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,0.601,0.741,2,-5.569,1,0.0478,2.91e-05,0.415,0.441,153.96,153190,4
3oqyYhGHlZeoWXVK5XRfVK,Jawny BadLuck,eyEs 4 you,0.728,0.753,11,-5.08,1,0.0954,0,0.0751,0.548,117.953,151000,4
2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,0.612,0.807,10,-2.81,1,0.0336,0.0177,0.101,0.398,124.053,240400,4
3qaH5D6Om5rEMzt4vOxcfE,Mark Mendy,Rubberband,0.741,0.754,6,-5.378,1,0.0897,0,0.15,0.885,120.046,146000,4
0sf12qNH5qcw8qpgymFOqD,The Weeknd,Blinding Lights,0.513,0.796,1,-4.075,1,0.0629,0.000209,0.0938,0.345,171.017,201573,4
6WgnoqNpd2LAANRsEaqOoo,Alex Su,Self Destruct Mode,0.542,0.48,4,-11.091,0,0.0282,0,0.104,0.266,90.0,260000,4
6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,0.548,0.816,0,-4.209,1,0.0465,0,0.335,0.557,95.39,174000,4
